,Comments,T,P
15 43 41 ,,169.7,713
15 43 42 ,,169.7,713
15 43 43 ,,169.7,713.1
15 43 44 ,,169.7,713.1
15 43 45 ,,169.7,713.1
15 43 46 ,,169.7,713.2
15 43 47 ,,169.7,713.2
15 43 48 ,,169.7,713.2
15 43 49 ,,169.7,713.2
15 43 50 ,,169.7,713.2
15 43 51 ,,169.7,713.3
15 43 52 ,,169.7,713.3
15 43 53 ,,169.7,713.3
15 43 54 ,,169.7,713.3
15 43 55 ,,169.7,713.3
15 43 56 ,,169.7,713.3
15 43 57 ,,169.7,713.3
15 43 58 ,,169.7,713.3
15 43 59 ,,169.7,713.3
15 44 00 ,,169.7,713.4
15 44 01 ,,169.7,713.4
15 44 02 ,,169.7,713.4
15 44 03 ,,169.7,713.4
15 44 04 ,,169.7,713.4
15 44 05 ,,169.7,713.4
15 44 06 ,,169.7,713.4
15 44 07 ,,169.7,713.4
15 44 08 ,,169.7,713.4
15 44 09 ,,169.7,713.4
15 44 10 ,,169.7,713.4
15 44 11 ,,169.7,713.4
15 44 12 ,,169.8,713.4
15 44 13 ,,169.8,713.4
15 44 14 ,,169.8,713.4
15 44 15 ,,169.8,713.4
15 44 16 ,,169.8,713.4
15 44 17 ,,169.8,713.4
15 44 18 ,,169.8,713.4
15 44 19 ,,169.8,713.4
15 44 20 ,,169.8,713.4
15 44 21 ,,169.8,713.4
15 44 22 ,,169.8,713.4
15 44 23 ,,169.8,713.4
15 44 24 ,,169.8,713.4
15 44 25 ,,169.8,713.4
15 44 26 ,,169.8,713.4
15 44 27 ,,169.8,713.4
15 44 28 ,,169.8,713.4
15 44 29 ,,169.8,713.4
15 44 30 ,,169.8,713.4
15 44 31 ,,169.8,713.4
15 44 32 ,,169.8,713.4
15 44 33 ,,169.8,713.4
15 44 34 ,,169.9,713.4
15 44 35 ,,169.9,713.4
15 44 36 ,,169.9,713.3
15 44 37 ,,169.9,713.2
15 44 38 ,,169.9,713.1
15 44 39 ,,169.9,713.1
15 44 40 ,,169.9,712.8
15 44 41 ,,169.9,712.8
15 44 42 ,,169.9,712.8
15 44 43 ,,169.9,712.8
15 44 44 ,,169.9,712.8
15 44 45 ,,169.9,712.8
15 44 46 ,,169.9,712.8
15 44 47 ,,169.9,712.6
15 44 48 ,,169.9,712.6
15 44 49 ,,169.9,712.6
15 44 50 ,,169.9,712.5
15 44 51 ,,169.9,712.5
15 44 52 ,,169.9,712.3
15 44 53 ,,169.9,712.2
15 44 54 ,,169.9,712.1
15 44 55 ,,169.9,711.8
15 44 56 ,,169.9,711.5
15 44 57 ,,169.9,711.4
15 44 58 ,,169.9,711.3
15 44 59 ,,169.9,711.3
15 45 00 ,,169.9,711.3
15 45 01 ,,169.9,711.3
15 45 02 ,,169.9,711.3
15 45 03 ,,169.9,711.3
15 45 04 ,,169.9,711.3
15 45 05 ,,169.9,711.3
15 45 06 ,,169.9,711.3
15 45 07 ,,169.9,711.3
15 45 08 ,,169.9,711.3
15 45 09 ,,169.9,711.3
15 45 10 ,,169.9,711.3
15 45 11 ,,169.9,711.3
15 45 12 ,,169.9,711.3
15 45 13 ,,169.9,711.3
15 45 14 ,,169.9,711.3
15 45 15 ,,169.9,711.3
15 45 16 ,,169.9,711.3
15 45 17 ,,169.9,711.1
15 45 18 ,,169.9,710.9
15 45 19 ,,169.9,710.7
15 45 20 ,,169.9,710.4
15 45 21 ,,169.9,710.1
15 45 22 ,,169.9,709.8
15 45 23 ,,169.9,709.6
15 45 24 ,,169.9,709.1
15 45 25 ,,169.9,708.8
15 45 26 ,,169.9,708.5
15 45 27 ,,169.9,708.1
15 45 28 ,,169.9,707.9
15 45 29 ,,169.9,707.8
15 45 30 ,,169.9,707.7
15 45 31 ,,169.9,707.7
15 45 32 ,,169.9,707.6
15 45 33 ,,169.9,707.6
15 45 34 ,,169.9,707.5
15 45 35 ,,169.9,707.5
15 45 36 ,,169.9,707.5
15 45 37 ,,169.9,707.5
15 45 38 ,,169.9,707.5
15 45 39 ,,169.9,707.5
15 45 40 ,,169.9,707.5
15 45 41 ,,169.9,707.6
15 45 42 ,,169.9,707.6
15 45 43 ,,169.9,707.6
15 45 44 ,,169.9,707.7
15 45 45 ,,169.9,707.7
15 45 46 ,,169.9,707.8
15 45 47 ,,169.9,707.8
15 45 48 ,,169.9,707.8
15 45 49 ,,169.9,707.8
15 45 50 ,,169.9,707.8
15 45 51 ,,169.9,707.8
15 45 52 ,,169.9,707.8
15 45 53 ,,169.9,707.8
15 45 54 ,,170,707.8
15 45 55 ,,170,707.8
15 45 56 ,,170,707.8
15 45 57 ,,170,707.8
15 45 58 ,,170,707.8
15 45 59 ,,169.9,707.8
15 46 00 ,,169.9,707.9
15 46 01 ,,169.9,707.9
15 46 02 ,,169.9,707.9
15 46 03 ,,169.9,708
15 46 04 ,,169.9,708
15 46 05 ,,169.9,708.3
15 46 06 ,,169.9,708.5
15 46 07 ,,169.9,708.7
15 46 08 ,,169.9,708.8
15 46 09 ,,169.9,708.8
15 46 10 ,,169.9,708.9
15 46 11 ,,169.9,709.1
15 46 12 ,,169.9,709.3
15 46 13 ,,169.9,709.6
15 46 14 ,,169.9,709.7
15 46 15 ,,169.9,709.9
15 46 16 ,,169.9,710
15 46 17 ,,169.9,710
15 46 18 ,,169.9,710
15 46 19 ,,169.9,710
15 46 20 ,,169.9,710.1
15 46 21 ,,169.9,710.1
15 46 22 ,,169.9,710.1
15 46 23 ,,169.9,710.2
15 46 24 ,,169.9,710.3
15 46 25 ,,169.9,710.3
15 46 26 ,,169.9,710.4
15 46 27 ,,169.9,710.4
15 46 28 ,,169.9,710.4
15 46 29 ,,169.9,710.4
15 46 30 ,,169.9,710.4
15 46 31 ,,169.9,710.7
15 46 32 ,,169.9,710.7
15 46 33 ,,169.9,710.7
15 46 34 ,,169.9,710.8
15 46 35 ,,169.9,710.9
15 46 36 ,,169.9,710.9
15 46 37 ,,169.9,710.9
15 46 38 ,,169.9,710.9
15 46 39 ,,169.9,710.9
15 46 40 ,,169.9,710.9
15 46 41 ,,169.9,710.9
15 46 42 ,,169.9,710.9
15 46 43 ,,169.9,710.9
15 46 44 ,,169.9,710.9
15 46 45 ,,169.9,710.9
15 46 46 ,,169.9,710.9
15 46 47 ,,169.9,711
15 46 48 ,,169.9,711.1
15 46 49 ,,169.9,711.2
15 46 50 ,,169.9,711.2
15 46 51 ,,169.9,711.3
15 46 52 ,,169.9,711.3
15 46 53 ,,169.9,711.4
15 46 54 ,,169.9,711.5
15 46 55 ,,169.9,711.6
15 46 56 ,,169.9,711.6
15 46 57 ,,169.9,711.6
15 46 58 ,,169.9,711.6
15 46 59 ,,169.9,711.6
15 47 00 ,,169.9,711.8
15 47 01 ,,169.9,711.9
15 47 02 ,,169.9,711.9
15 47 03 ,,169.9,711.9
15 47 04 ,,169.9,711.9
15 47 05 ,,169.9,711.9
15 47 06 ,,169.9,711.9
15 47 07 ,,169.9,711.9
15 47 08 ,,169.9,711.9
15 47 09 ,,169.9,711.9
15 47 10 ,,169.9,711.9
15 47 11 ,,169.9,711.9
15 47 12 ,,169.9,711.9
15 47 13 ,,169.9,711.9
15 47 14 ,,170,711.9
15 47 15 ,,170,711.9
15 47 16 ,,170,711.9
15 47 17 ,,170,711.9
15 47 18 ,,170,711.9
15 47 19 ,,170,711.9
15 47 20 ,,170,711.9
15 47 21 ,,170,711.9
15 47 22 ,,170,711.9
15 47 23 ,,170,711.9
15 47 24 ,,170,711.8
15 47 25 ,,170,711.8
15 47 26 ,,170,711.6
15 47 27 ,,170,711.6
15 47 28 ,,170,711.5
15 47 29 ,,170,711.5
15 47 30 ,,170,711.3
15 47 31 ,,170,711.2
15 47 32 ,,170,711
15 47 33 ,,170,710.8
15 47 34 ,,170,710.7
15 47 35 ,,170,710.7
15 47 36 ,,170,710.7
15 47 37 ,,170,710.2
15 47 38 ,,170,710.2
15 47 39 ,,170,710.2
15 47 40 ,,170,710.2
15 47 41 ,,170,710.2
15 47 42 ,,170,710.1
15 47 43 ,,170,710.1
15 47 44 ,,170,710
15 47 45 ,,170,710
15 47 46 ,,170,710
15 47 47 ,,170,709.9
15 47 48 ,,170,709.6
15 47 49 ,,170,709.4
15 47 50 ,,170,709.4
15 47 51 ,,170,709.4
15 47 52 ,,170,709.4
15 47 53 ,,170,709.4
15 47 54 ,,170,709.4
15 47 55 ,,170,709.2
15 47 56 ,,170,709.2
15 47 57 ,,170,709.2
15 47 58 ,,170,709.2
15 47 59 ,,170,709.2
15 48 00 ,,170,709.2
15 48 01 ,,170,709.2
15 48 02 ,,170,709.4
15 48 03 ,,170,709.4
15 48 04 ,,170,709.4
15 48 05 ,,170,709.4
15 48 06 ,,170,709.4
15 48 07 ,,170,709.4
15 48 08 ,,170,709.6
15 48 09 ,,170,709.6
15 48 10 ,,170,709.7
15 48 11 ,,170,709.7
15 48 12 ,,170,709.7
15 48 13 ,,170,709.7
15 48 14 ,,170,709.7
15 48 15 ,,170,709.7
15 48 16 ,,170,709.7
15 48 17 ,,170,709.8
15 48 18 ,,170,709.8
15 48 19 ,,170,709.8
15 48 20 ,,170,709.8
15 48 21 ,,170,709.8
15 48 22 ,,170,709.9
15 48 23 ,,170,710
15 48 24 ,,170,710.1
15 48 25 ,,170,710.2
15 48 26 ,,170,710.2
15 48 27 ,,170,710.2
15 48 28 ,,170,710.2
15 48 29 ,,170,710.2
15 48 30 ,,170,710.2
15 48 31 ,,170,710.2
15 48 32 ,,170,710.2
15 48 33 ,,170,710.2
15 48 34 ,,170,710.2
15 48 35 ,,170,710.2
15 48 36 ,,170,710.2
15 48 37 ,,170,710.2
15 48 38 ,,170,710.2
15 48 39 ,,170,710.2
15 48 40 ,,170,710.2
15 48 41 ,,170,710.2
15 48 42 ,,170,710.2
15 48 43 ,,170,710.2
15 48 44 ,,170,710.2
15 48 45 ,,170,710.2
15 48 46 ,,170,710.2
15 48 47 ,,170,710.2
15 48 48 ,,170,710.2
15 48 49 ,,170,710.2
15 48 50 ,,170,710.2
15 48 51 ,,170,710.2
15 48 52 ,,170,710.2
15 48 53 ,,170,710.2
15 48 54 ,,170,710.2
15 48 55 ,,170,710.2
15 48 56 ,,170,710.2
15 48 57 ,,170,710.2
15 48 58 ,,170,710.2
15 48 59 ,,170,710.2
15 49 00 ,,170,710.2
15 49 01 ,,170,710.2
15 49 02 ,,170,710.2
15 49 03 ,,170,710.2
15 49 04 ,,170,710.2
15 49 05 ,,170,710.2
15 49 06 ,,170,710.4
15 49 07 ,,170,710.4
15 49 08 ,,170,710.4
15 49 09 ,,170,710.7
15 49 10 ,,170,710.8
15 49 11 ,,170,710.8
15 49 12 ,,170,710.9
15 49 13 ,,170,711
15 49 14 ,,170,711
15 49 15 ,,170,711.1
15 49 16 ,,170,711.1
15 49 17 ,,170,711.1
15 49 18 ,,170,711.3
15 49 19 ,,170,711.3
15 49 20 ,,170,711.3
15 49 21 ,,170,711.3
15 49 22 ,,170,711.3
15 49 23 ,,170,711.3
15 49 24 ,,170,711.6
15 49 25 ,,170,711.6
15 49 26 ,,170,711.6
15 49 27 ,,170,711.6
15 49 28 ,,170,711.6
15 49 29 ,,170,711.6
15 49 30 ,,170,711.6
15 49 31 ,,170,711.6
15 49 32 ,,170,711.6
15 49 33 ,,170,711.6
15 49 34 ,,170,711.6
15 49 35 ,,170,711.6
15 49 36 ,,170,711.6
15 49 37 ,,170,711.6
15 49 38 ,,170,711.6
15 49 39 ,,170,711.6
15 49 40 ,,170,711.6
15 49 41 ,,170,711.6
15 49 42 ,,170,711.6
15 49 43 ,,170,711.6
15 49 44 ,,170,711.6
15 49 45 ,,170,711.6
15 49 46 ,,170,711.6
15 49 47 ,,170,711.6
15 49 48 ,,170,711.6
15 49 49 ,,170,711.6
15 49 50 ,,170,711.6
15 49 51 ,,170,711.6
15 49 52 ,,170,711.6
15 49 53 ,,170,711.6
15 49 54 ,,170,711.6
15 49 55 ,,170,711.6
15 49 56 ,,170,711.6
15 49 57 ,,170,711.6
15 49 58 ,,170,711.6
15 49 59 ,,170,711.6
15 50 00 ,,170,711.6
15 50 01 ,,170,711.6
15 50 02 ,,170,711.5
15 50 03 ,,170,711.5
15 50 04 ,,170,711.5
15 50 05 ,,170,711.3
15 50 06 ,,170,711.3
15 50 07 ,,170,711.2
15 50 08 ,,170,711
15 50 09 ,,170,710.9
15 50 10 ,,170,710.8
15 50 11 ,,170,710.7
15 50 12 ,,170,710.7
15 50 13 ,,170,710.4
15 50 14 ,,170,710.2
15 50 15 ,,170,710.2
15 50 16 ,,170,710.2
15 50 17 ,,170,710.2
15 50 18 ,,170,710.2
15 50 19 ,,170,710.2
15 50 20 ,,170,710.2
15 50 21 ,,170,710.2
15 50 22 ,,170,710.2
15 50 23 ,,170,710.2
15 50 24 ,,170,710.2
15 50 25 ,,170,710.2
15 50 26 ,,170,710.2
15 50 27 ,,170,710.2
15 50 28 ,,170,710.2
15 50 29 ,,170,710
15 50 30 ,,170,710
15 50 31 ,,170,710
15 50 32 ,,170,710
15 50 33 ,,170,710
15 50 34 ,,170,710
15 50 35 ,,170,710
15 50 36 ,,170,710
15 50 37 ,,170,710
15 50 38 ,,170,710
15 50 39 ,,170,710
15 50 40 ,,170,710
15 50 41 ,,170,710
15 50 42 ,,170,710
15 50 43 ,,170,710
15 50 44 ,,170,710
15 50 45 ,,170,710
15 50 46 ,,170,710
15 50 47 ,,170,710
15 50 48 ,,170,710
15 50 49 ,,170,710
15 50 50 ,,170,710.2
15 50 51 ,,170,710.3
15 50 52 ,,170,710.3
15 50 53 ,,170,710.4
15 50 54 ,,170,710.7
15 50 55 ,,170,710.8
15 50 56 ,,170.1,710.8
15 50 57 ,,170.1,710.9
15 50 58 ,,170.1,710.9
15 50 59 ,,170.1,711
15 51 00 ,,170.1,711.1
15 51 01 ,,170.1,711.1
15 51 02 ,,170.1,711.1
15 51 03 ,,170.1,711.2
15 51 04 ,,170.1,711.2
15 51 05 ,,170.1,711.2
15 51 06 ,,170.1,711.2
15 51 07 ,,170.1,711.2
15 51 08 ,,170.1,711.2
15 51 09 ,,170.1,711.2
15 51 10 ,,170.1,711.2
15 51 11 ,,170.1,711.2
15 51 12 ,,170.1,711.2
15 51 13 ,,170.1,711.2
15 51 14 ,,170.1,711.2
15 51 15 ,,170.1,711.2
15 51 16 ,,170.1,711.2
15 51 17 ,,170.1,711.2
15 51 18 ,,170.1,711.2
15 51 19 ,,170.1,711.2
15 51 20 ,,170.1,711.2
15 51 21 ,,170.1,711.2
15 51 22 ,,170.1,711.2
15 51 23 ,,170.1,711.2
15 51 24 ,,170.1,711.2
15 51 25 ,,170.1,711.2
15 51 26 ,,170.1,711.2
15 51 27 ,,170.1,711.2
15 51 28 ,,170.1,711.2
15 51 29 ,,170.1,711.2
15 51 30 ,,170.1,711.2
15 51 31 ,,170.1,711.2
15 51 32 ,,170.1,711.2
15 51 33 ,,170.1,711.2
15 51 34 ,,170.1,711.2
15 51 35 ,,170.1,711.2
15 51 36 ,,170.1,711.2
15 51 37 ,,170.1,711.2
15 51 38 ,,170.1,711.2
15 51 39 ,,170.1,711.2
15 51 40 ,,170.1,711.2
15 51 41 ,,170.1,711.2
15 51 42 ,,170.1,711.2
15 51 43 ,,170.1,711.2
15 51 44 ,,170.1,711.3
15 51 45 ,,170.1,711.3
15 51 46 ,,170.1,711.3
15 51 47 ,,170.1,711.3
15 51 48 ,,170.1,711.3
15 51 49 ,,170.1,711.3
15 51 50 ,,170.1,711.3
15 51 51 ,,170.1,711.3
15 51 52 ,,170.1,711.3
15 51 53 ,,170.1,711.3
15 51 54 ,,170.1,711.3
15 51 55 ,,170.1,711.3
15 51 56 ,,170.1,711.4
15 51 57 ,,170.1,711.4
15 51 58 ,,170.1,711.4
15 51 59 ,,170.1,711.4
15 52 00 ,,170.1,711.5
15 52 01 ,,170.1,711.5
15 52 02 ,,170.1,711.5
15 52 03 ,,170.1,711.6
15 52 04 ,,170.1,711.6
15 52 05 ,,170.1,711.6
15 52 06 ,,170.1,711.9
15 52 07 ,,170.1,711.9
15 52 08 ,,170.1,711.9
15 52 09 ,,170.1,712
15 52 10 ,,170.1,712
15 52 11 ,,170.1,712
15 52 12 ,,170.1,712
15 52 13 ,,170.1,712.1
15 52 14 ,,170.1,712.1
15 52 15 ,,170.1,712.1
15 52 16 ,,170.1,712.1
15 52 17 ,,170.1,712.1
15 52 18 ,,170.1,712.1
15 52 19 ,,170.1,712.1
15 52 20 ,,170.1,712.1
15 52 21 ,,170.1,712.1
15 52 22 ,,170.1,712.1
15 52 23 ,,170.1,712.1
15 52 24 ,,170.1,712.1
15 52 25 ,,170.1,712.1
15 52 26 ,,170.1,712.2
15 52 27 ,,170.1,712.2
15 52 28 ,,170.1,712.2
15 52 29 ,,170.1,712.2
15 52 30 ,,170.1,712.2
15 52 31 ,,170.1,712.2
15 52 32 ,,170.1,712.2
15 52 33 ,,170.1,712.2
15 52 34 ,,170.1,712.2
15 52 35 ,,170.1,712.2
15 52 36 ,,170.1,712.2
15 52 37 ,,170.1,712.2
15 52 38 ,,170.1,712.3
15 52 39 ,,170.1,712.4
15 52 40 ,,170.1,712.4
15 52 41 ,,170.1,712.4
15 52 42 ,,170.1,712.4
15 52 43 ,,170.1,712.4
15 52 44 ,,170.1,712.4
15 52 45 ,,170.1,712.4
15 52 46 ,,170.1,712.4
15 52 47 ,,170.1,712.4
15 52 48 ,,170,712.5
15 52 49 ,,170,712.5
15 52 50 ,,170,712.5
15 52 51 ,,170,712.5
15 52 52 ,,170,712.5
15 52 53 ,,170,712.5
15 52 54 ,,170,712.5
15 52 55 ,,170,712.5
15 52 56 ,,170,712.5
15 52 57 ,,170,712.5
15 52 58 ,,170,712.5
15 52 59 ,,170,712.5
15 53 00 ,,170,712.5
15 53 01 ,,170,712.5
15 53 02 ,,170,712.5
15 53 03 ,,170,712.5
15 53 04 ,,170,712.5
15 53 05 ,,170,712.5
15 53 06 ,,170,712.5
15 53 07 ,,170,712.5
15 53 08 ,,170,712.5
15 53 09 ,,170,712.5
15 53 10 ,,170,712.5
15 53 11 ,,170,712.5
15 53 12 ,,170,712.5
15 53 13 ,,170,712.5
15 53 14 ,,170,712.5
15 53 15 ,,170,712.5
15 53 16 ,,170,712.5
15 53 17 ,,170,712.5
15 53 18 ,,170,712.5
15 53 19 ,,170,712.5
15 53 20 ,,170,712.5
15 53 21 ,,170,712.5
15 53 22 ,,170,712.5
15 53 23 ,,170,712.5
15 53 24 ,,170,712.5
15 53 25 ,,170,712.5
15 53 26 ,,170,712.5
15 53 27 ,,170,712.5
15 53 28 ,,170,712.5
15 53 29 ,,170,712.5
15 53 30 ,,170,712.5
15 53 31 ,,170,712.5
15 53 32 ,,170,712.5
15 53 33 ,,170,712.5
15 53 34 ,,170,712.5
15 53 35 ,,170,712.5
15 53 36 ,,170,712.5
15 53 37 ,,170,712.5
15 53 38 ,,170,712.5
15 53 39 ,,170,712.6
15 53 40 ,,170,712.6
15 53 41 ,,170,712.6
15 53 42 ,,170,712.6
15 53 43 ,,170,712.8
15 53 44 ,,170,712.8
15 53 45 ,,170,712.8
15 53 46 ,,170,712.8
15 53 47 ,,170,712.8
15 53 48 ,,170,712.8
15 53 49 ,,170,712.8
15 53 50 ,,170,712.8
15 53 51 ,,170,712.8
15 53 52 ,,170,712.8
15 53 53 ,,170,712.8
15 53 54 ,,170,712.8
15 53 55 ,,170,712.8
15 53 56 ,,170,712.8
15 53 57 ,,170,712.8
15 53 58 ,,170,712.8
15 53 59 ,,170,712.8
15 54 00 ,,170,712.8
15 54 01 ,,170,712.8
15 54 02 ,,170,712.8
15 54 03 ,,170,712.8
15 54 04 ,,170,712.8
15 54 05 ,,170,712.8
15 54 06 ,,170,712.8
15 54 07 ,,170,712.8
15 54 08 ,,170,712.8
15 54 09 ,,170,712.8
15 54 10 ,,170,712.8
15 54 11 ,,170,712.8
15 54 12 ,,170,712.8
15 54 13 ,,170,712.8
15 54 14 ,,170,712.8
15 54 15 ,,170,712.8
15 54 16 ,,170,712.8
15 54 17 ,,170,712.8
15 54 18 ,,170,712.8
15 54 19 ,,170,712.8
15 54 20 ,,170,712.8
15 54 21 ,,170,712.6
15 54 22 ,,170,712.6
15 54 23 ,,170,712.6
15 54 24 ,,170,712.6
15 54 25 ,,170,712.6
15 54 26 ,,170,712.5
15 54 27 ,,170,712.5
15 54 28 ,,170.1,712.5
15 54 29 ,,170.1,712.4
15 54 30 ,,170.1,712.4
15 54 31 ,,170.1,712.3
15 54 32 ,,170.1,712.3
15 54 33 ,,170.1,712.3
15 54 34 ,,170.1,712.3
15 54 35 ,,170.1,712.3
15 54 36 ,,170.1,712.3
15 54 37 ,,170.1,712.2
15 54 38 ,,170.1,712.1
15 54 39 ,,170.1,712.1
15 54 40 ,,170.1,712.1
15 54 41 ,,170.1,712.1
15 54 42 ,,170.1,712.1
15 54 43 ,,170.1,712.1
15 54 44 ,,170.1,712.1
15 54 45 ,,170.1,712.1
15 54 46 ,,170.1,712.1
15 54 47 ,,170.1,712.1
15 54 48 ,,170.1,712.1
15 54 49 ,,170.1,712.1
15 54 50 ,,170.1,712.1
15 54 51 ,,170.1,712.1
15 54 52 ,,170.1,712.1
15 54 53 ,,170.1,712.1
15 54 54 ,,170.1,712
15 54 55 ,,170.1,712
15 54 56 ,,170.1,712
15 54 57 ,,170.1,712
15 54 58 ,,170.1,712
15 54 59 ,,170.1,712
15 55 00 ,,170.1,712
15 55 01 ,,170.1,711.9
15 55 02 ,,170.1,711.9
15 55 03 ,,170.1,711.9
15 55 04 ,,170.1,711.8
15 55 05 ,,170.1,711.8
15 55 06 ,,170.1,711.8
15 55 07 ,,170.1,711.8
15 55 08 ,,170.1,711.6
15 55 09 ,,170.1,711.6
15 55 10 ,,170.1,711.6
15 55 11 ,,170.1,711.6
15 55 12 ,,170.1,711.5
15 55 13 ,,170.1,711.5
15 55 14 ,,170.1,711.4
15 55 15 ,,170.1,711.4
15 55 16 ,,170.1,711.4
15 55 17 ,,170.1,711.3
15 55 18 ,,170.1,711.3
15 55 19 ,,170.1,711.3
15 55 20 ,,170.1,711.3
15 55 21 ,,170.1,711.3
15 55 22 ,,170.1,711.3
15 55 23 ,,170.1,711.3
15 55 24 ,,170,711.3
15 55 25 ,,170,711.3
15 55 26 ,,170,711.3
15 55 27 ,,170,711.3
15 55 28 ,,170,711.3
15 55 29 ,,170,711.3
15 55 30 ,,170,711.3
15 55 31 ,,170,711.3
15 55 32 ,,170,711.3
15 55 33 ,,170,711.3
15 55 34 ,,170,711.3
15 55 35 ,,170,711.3
15 55 36 ,,170,711.2
15 55 37 ,,170,711.2
15 55 38 ,,170,711.2
15 55 39 ,,170,711
15 55 40 ,,170,711
15 55 41 ,,170,710.9
15 55 42 ,,170,710.8
15 55 43 ,,170,710.7
15 55 44 ,,170,710.7
15 55 45 ,,170,710.3
15 55 46 ,,170,710.3
15 55 47 ,,170,710.2
15 55 48 ,,170,710.2
15 55 49 ,,170,710.2
15 55 50 ,,170,710.1
15 55 51 ,,170,710.1
15 55 52 ,,170,710
15 55 53 ,,170,710
15 55 54 ,,170,710
15 55 55 ,,170,710
15 55 56 ,,170,709.8
15 55 57 ,,170,709.7
15 55 58 ,,170,709.6
15 55 59 ,,170,709.4
15 56 00 ,,170,709.3
15 56 01 ,,170,709.2
15 56 02 ,,170,709
15 56 03 ,,170,708.9
15 56 04 ,,170,708.9
15 56 05 ,,170,708.9
15 56 06 ,,170,708.8
15 56 07 ,,170,708.8
15 56 08 ,,170,708.8
15 56 09 ,,170,708.8
15 56 10 ,,170,708.8
15 56 11 ,,170,708.8
15 56 12 ,,170,708.8
15 56 13 ,,170,708.8
15 56 14 ,,170,708.8
15 56 15 ,,170,708.8
15 56 16 ,,170,708.8
15 56 17 ,,170,708.8
15 56 18 ,,170,708.8
15 56 19 ,,170,708.8
15 56 20 ,,170,708.8
15 56 21 ,,170,708.8
15 56 22 ,,170,708.8
15 56 23 ,,170,708.8
15 56 24 ,,170,708.8
15 56 25 ,,170,708.8
15 56 26 ,,170,708.8
15 56 27 ,,170,708.8
15 56 28 ,,170,708.8
15 56 29 ,,170,708.7
15 56 30 ,,170,708.7
15 56 31 ,,170,708.7
15 56 32 ,,170,708.7
15 56 33 ,,170,708.7
15 56 34 ,,170,708.7
15 56 35 ,,170,708.7
15 56 36 ,,170,708.6
15 56 37 ,,170,708.6
15 56 38 ,,170,708.6
15 56 39 ,,170,708.6
15 56 40 ,,170,708.6
15 56 41 ,,170,708.6
15 56 42 ,,170,708.6
15 56 43 ,,170,708.6
15 56 44 ,,170,708.6
15 56 45 ,,170,708.6
15 56 46 ,,170,708.6
15 56 47 ,,170,708.7
15 56 48 ,,170,708.8
15 56 49 ,,170,708.9
15 56 50 ,,170,709
15 56 51 ,,170,709.3
15 56 52 ,,170,709.4
15 56 53 ,,170,709.7
15 56 54 ,,170,709.9
15 56 55 ,,170,710
15 56 56 ,,170,710.2
15 56 57 ,,170,710.4
15 56 58 ,,170.1,710.7
15 56 59 ,,170.1,711
15 57 00 ,,170.1,711.2
15 57 01 ,,170.1,711.3
15 57 02 ,,170.1,711.4
15 57 03 ,,170.1,711.5
15 57 04 ,,170.1,711.8
15 57 05 ,,170.1,711.8
15 57 06 ,,170.1,712.1
15 57 07 ,,170.1,712.1
15 57 08 ,,170.1,712.1
15 57 09 ,,170.1,712.2
15 57 10 ,,170.1,712.3
15 57 11 ,,170.1,712.3
