,Comments,T,P
15 57 12 ,,170.1,712.4
15 57 13 ,,170.1,712.4
15 57 14 ,,170.1,712.4
15 57 15 ,,170.1,712.5
15 57 16 ,,170.1,712.5
15 57 17 ,,170.1,712.5
15 57 18 ,,170.1,712.5
15 57 19 ,,170.1,712.5
15 57 20 ,,170.1,712.6
15 57 21 ,,170.1,712.6
15 57 22 ,,170.1,712.6
15 57 23 ,,170.1,712.6
15 57 24 ,,170.1,712.6
15 57 25 ,,170.1,712.6
15 57 26 ,,170.1,712.6
15 57 27 ,,170.1,712.8
15 57 28 ,,170.1,712.8
15 57 29 ,,170.1,712.8
15 57 30 ,,170.1,712.8
15 57 31 ,,170.1,712.8
15 57 32 ,,170.1,713
15 57 33 ,,170.1,713
15 57 34 ,,170.1,713
15 57 35 ,,170.1,713
15 57 36 ,,170.1,713
15 57 37 ,,170.1,713
15 57 38 ,,170.1,713
15 57 39 ,,170.1,713
15 57 40 ,,170.1,713
15 57 41 ,,170.1,713
15 57 42 ,,170.1,713
15 57 43 ,,170.1,713
15 57 44 ,,170.1,713
15 57 45 ,,170.1,713
15 57 46 ,,170.1,713
15 57 47 ,,170.1,713.1
15 57 48 ,,170.1,713.1
15 57 49 ,,170.1,713.1
15 57 50 ,,170.1,713.1
15 57 51 ,,170.1,713.1
15 57 52 ,,170.1,713.1
15 57 53 ,,170.1,713.1
15 57 54 ,,170.1,713.2
15 57 55 ,,170.1,713.2
15 57 56 ,,170.1,713.2
15 57 57 ,,170.1,713.2
15 57 58 ,,170.1,713.2
15 57 59 ,,170.1,713.2
15 58 00 ,,170.1,713.2
15 58 01 ,,170.1,713.2
15 58 02 ,,170.1,713.2
15 58 03 ,,170.1,713.2
15 58 04 ,,170.1,713.2
15 58 05 ,,170.1,713.2
15 58 06 ,,170.1,713.2
15 58 07 ,,170.1,713.2
15 58 08 ,,170.1,713.2
15 58 09 ,,170.1,713.2
15 58 10 ,,170.1,713.2
15 58 11 ,,170.1,713.2
15 58 12 ,,170.1,713.2
15 58 13 ,,170.1,713.2
15 58 14 ,,170.1,713.2
15 58 15 ,,170.1,713.2
15 58 16 ,,170.1,713.2
15 58 17 ,,170.1,713.2
15 58 18 ,,170.1,713.2
15 58 19 ,,170.1,713.2
15 58 20 ,,170.1,713.3
15 58 21 ,,170.1,713.3
15 58 22 ,,170.1,713.3
15 58 23 ,,170.1,713.3
15 58 24 ,,170.1,713.3
15 58 25 ,,170.1,713.3
15 58 26 ,,170.1,713.3
15 58 27 ,,170.1,713.3
15 58 28 ,,170.1,713.3
15 58 29 ,,170.1,713.3
15 58 30 ,,170.1,713.3
15 58 31 ,,170.1,713.3
15 58 32 ,,170.1,713.4
15 58 33 ,,170.1,713.4
15 58 34 ,,170.1,713.4
15 58 35 ,,170.1,713.4
15 58 36 ,,170.1,713.4
15 58 37 ,,170.1,713.4
15 58 38 ,,170.1,713.4
15 58 39 ,,170.1,713.4
15 58 40 ,,170,713.4
15 58 41 ,,170,713.4
15 58 42 ,,170,713.4
15 58 43 ,,170,713.4
15 58 44 ,,170,713.4
15 58 45 ,,170,713.4
15 58 46 ,,170,713.4
15 58 47 ,,170,713.4
15 58 48 ,,170,713.4
15 58 49 ,,170,713.4
15 58 50 ,,170,713.4
15 58 51 ,,170,713.4
15 58 52 ,,170,713.4
15 58 53 ,,170,713.4
15 58 54 ,,170,713.4
15 58 55 ,,170,713.4
15 58 56 ,,170,713.4
15 58 57 ,,170,713.4
15 58 58 ,,170,713.4
15 58 59 ,,170,713.4
15 59 00 ,,170,713.4
15 59 01 ,,170,713.4
15 59 02 ,,170,713.4
15 59 03 ,,170,713.4
15 59 04 ,,170,713.4
15 59 05 ,,170,713.4
15 59 06 ,,170,713.4
15 59 07 ,,170,713.4
15 59 08 ,,170,713.4
15 59 09 ,,170,713.4
15 59 10 ,,170,713.5
15 59 11 ,,170,713.5
15 59 12 ,,170,713.5
15 59 13 ,,170,713.5
15 59 14 ,,170,713.5
15 59 15 ,,170,713.5
15 59 16 ,,170,713.5
15 59 17 ,,170,713.5
15 59 18 ,,170,713.5
15 59 19 ,,170,713.5
15 59 20 ,,170,713.5
15 59 21 ,,170,713.5
15 59 22 ,,170,713.5
15 59 23 ,,170,713.5
15 59 24 ,,170,713.6
15 59 25 ,,170,713.6
15 59 26 ,,170,713.6
15 59 27 ,,170,713.6
15 59 28 ,,170,713.6
15 59 29 ,,170,713.6
15 59 30 ,,170,718.9
15 59 31 ,,170,745
15 59 32 ,,170,745.7
15 59 33 ,,170,746.4
15 59 34 ,,170,747.1
15 59 35 ,,170,747.5
15 59 36 ,,170,747.8
15 59 37 ,,170,747.9
15 59 38 ,,170,748
15 59 39 ,,170,748
15 59 40 ,,170,748
15 59 41 ,,170,748
15 59 42 ,,170,748
15 59 43 ,,170,748.3
15 59 44 ,,170,748.3
15 59 45 ,,170,748.3
15 59 46 ,,170,748.3
15 59 47 ,,170,748.3
15 59 48 ,,170,748.3
15 59 49 ,,170,748.3
15 59 50 ,,170.1,748.3
15 59 51 ,,170.1,748.3
15 59 52 ,,170.1,748.3
15 59 53 ,,170.1,748.3
15 59 54 ,,170.2,748.3
15 59 55 ,,170.2,748.3
15 59 56 ,,170.2,748.3
15 59 57 ,,170.2,748.3
15 59 58 ,,170.2,748.3
15 59 59 ,,170.2,748.3
16 00 00 ,,170.2,748.3
16 00 01 ,,170.2,748.3
16 00 02 ,,170.2,748.3
16 00 03 ,,170.2,748.3
16 00 04 ,,170.2,748.3
16 00 05 ,,170.2,748.3
16 00 06 ,,170.3,748.3
16 00 07 ,,170.3,748.3
16 00 08 ,,170.3,748.3
16 00 09 ,,170.3,748.3
16 00 10 ,,170.3,748.3
16 00 11 ,,170.3,748.3
16 00 12 ,,170.3,748.3
16 00 13 ,,170.3,748.3
16 00 14 ,,170.4,748.3
16 00 15 ,,170.4,748.3
16 00 16 ,,170.4,748.3
16 00 17 ,,170.4,748.3
16 00 18 ,,170.4,748.3
16 00 19 ,,170.4,748.3
16 00 20 ,,170.4,748.3
16 00 21 ,,170.4,748.3
16 00 22 ,,170.4,748.3
16 00 23 ,,170.4,748.3
16 00 24 ,,170.4,767.8
16 00 25 ,,170.4,769.7
16 00 26 ,,170.4,770.7
16 00 27 ,,170.4,771.3
16 00 28 ,,170.4,771.7
16 00 29 ,,170.4,772.1
16 00 30 ,,170.4,772.3
16 00 31 ,,170.4,772.5
16 00 32 ,,170.4,772.5
16 00 33 ,,170.4,772.5
16 00 34 ,,170.4,772.5
16 00 35 ,,170.4,772.5
16 00 36 ,,170.4,772.9
16 00 37 ,,170.4,778.9
16 00 38 ,,170.4,779.3
16 00 39 ,,170.4,779.7
16 00 40 ,,170.4,779.7
16 00 41 ,,170.4,779.7
16 00 42 ,,170.3,779.7
16 00 43 ,,170.3,779.7
16 00 44 ,,170.3,779.7
16 00 45 ,,170.3,779.7
16 00 46 ,,170.3,779.7
16 00 47 ,,170.3,779.7
16 00 48 ,,170.3,779.7
16 00 49 ,,170.3,779.7
16 00 50 ,,170.3,779.7
16 00 51 ,,170.3,779.7
16 00 52 ,,170.2,779.7
16 00 53 ,,170.2,779.7
16 00 54 ,,170.2,779.7
16 00 55 ,,170.2,779.7
16 00 56 ,,170.1,779.7
16 00 57 ,,170.1,779.7
16 00 58 ,,170.1,779.7
16 00 59 ,,170,779.7
16 01 00 ,,170,779.7
16 01 01 ,,170,779.7
16 01 02 ,,170,779.7
16 01 03 ,,170,779.7
16 01 04 ,,169.9,779.7
16 01 05 ,,169.9,779.7
16 01 06 ,,169.9,779.7
16 01 07 ,,169.9,779.7
16 01 08 ,,169.9,779.7
16 01 09 ,,169.9,779.7
16 01 10 ,,169.8,779.7
16 01 11 ,,169.8,779.7
16 01 12 ,,169.8,779.7
16 01 13 ,,169.8,779.7
16 01 14 ,,169.8,779.7
16 01 15 ,,169.8,779.7
16 01 16 ,,169.8,779.7
16 01 17 ,,169.8,779.7
16 01 18 ,,169.8,779.7
16 01 19 ,,169.8,779.7
16 01 20 ,,169.7,779.7
16 01 21 ,,169.7,779.7
16 01 22 ,,169.7,779.7
16 01 23 ,,169.7,779.7
16 01 24 ,,169.7,779.7
16 01 25 ,,169.7,779.7
16 01 26 ,,169.7,779.7
16 01 27 ,,169.7,779.7
16 01 28 ,,169.7,779.7
16 01 29 ,,169.7,779.7
16 01 30 ,,169.7,779.7
16 01 31 ,,169.7,779.7
16 01 32 ,,169.7,779.7
16 01 33 ,,169.7,779.7
16 01 34 ,,169.7,779.7
16 01 35 ,,169.7,779.7
16 01 36 ,,169.7,779.7
16 01 37 ,,169.7,779.7
16 01 38 ,,169.7,779.7
16 01 39 ,,169.7,779.7
16 01 40 ,,169.7,779.7
16 01 41 ,,169.7,779.7
16 01 42 ,,169.7,779.7
16 01 43 ,,169.7,779.7
16 01 44 ,,169.7,779.7
16 01 45 ,,169.7,779.7
16 01 46 ,,169.7,779.7
16 01 47 ,,169.7,779.7
16 01 48 ,,169.7,779.7
16 01 49 ,,169.7,779.7
16 01 50 ,,169.7,779.7
16 01 51 ,,169.7,779.7
16 01 52 ,,169.7,779.7
16 01 53 ,,169.7,779.7
16 01 54 ,,169.7,779.7
16 01 55 ,,169.7,779.7
16 01 56 ,,169.7,779.7
16 01 57 ,,169.7,779.7
16 01 58 ,,169.7,779.7
16 01 59 ,,169.7,779.7
16 02 00 ,,169.7,779.7
16 02 01 ,,169.7,779.7
16 02 02 ,,169.7,779.7
16 02 03 ,,169.7,779.6
16 02 04 ,,169.7,779.5
16 02 05 ,,169.7,779.5
16 02 06 ,,169.7,779.5
16 02 07 ,,169.7,779.5
16 02 08 ,,169.7,779.5
16 02 09 ,,169.7,779.5
16 02 10 ,,169.7,779.5
16 02 11 ,,169.7,779.5
16 02 12 ,,169.7,779.5
16 02 13 ,,169.7,779.5
16 02 14 ,,169.7,779.5
16 02 15 ,,169.7,779.5
16 02 16 ,,169.7,779.5
16 02 17 ,,169.7,779.5
16 02 18 ,,169.7,779.5
16 02 19 ,,169.7,779.5
16 02 20 ,,169.7,779.5
16 02 21 ,,169.7,779.5
16 02 22 ,,169.7,779.5
16 02 23 ,,169.7,779.5
16 02 24 ,,169.7,779.5
16 02 25 ,,169.7,779.5
16 02 26 ,,169.7,779.5
16 02 27 ,,169.7,779.5
16 02 28 ,,169.7,779.4
16 02 29 ,,169.7,779.4
16 02 30 ,,169.7,779.4
16 02 31 ,,169.7,779.4
16 02 32 ,,169.7,779.4
16 02 33 ,,169.7,779.4
16 02 34 ,,169.7,779.4
16 02 35 ,,169.7,779.4
16 02 36 ,,169.7,779.3
16 02 37 ,,169.7,779.3
16 02 38 ,,169.7,779.3
16 02 39 ,,169.7,779.3
16 02 40 ,,169.7,779.3
16 02 41 ,,169.7,779.3
16 02 42 ,,169.7,779.3
16 02 43 ,,169.7,779.3
16 02 44 ,,169.7,779.3
16 02 45 ,,169.7,779.3
16 02 46 ,,169.7,779.3
16 02 47 ,,169.7,779.3
16 02 48 ,,169.7,779.3
16 02 49 ,,169.7,779.3
16 02 50 ,,169.7,779.3
16 02 51 ,,169.7,779.3
16 02 52 ,,169.7,779.3
16 02 53 ,,169.7,779.3
16 02 54 ,,169.7,779.3
16 02 55 ,,169.7,779.3
16 02 56 ,,169.7,779.3
16 02 57 ,,169.7,779.3
16 02 58 ,,169.7,779.3
16 02 59 ,,169.7,779.3
16 03 00 ,,169.7,779.3
16 03 01 ,,169.7,779.3
16 03 02 ,,169.7,779.3
16 03 03 ,,169.7,779.3
16 03 04 ,,169.7,779.3
16 03 05 ,,169.7,779.3
16 03 06 ,,169.7,779.3
16 03 07 ,,169.7,779.3
16 03 08 ,,169.7,779.3
16 03 09 ,,169.7,779.3
16 03 10 ,,169.7,779.3
16 03 11 ,,169.7,779.3
16 03 12 ,,169.7,779.3
16 03 13 ,,169.7,779.3
16 03 14 ,,169.7,779.3
16 03 15 ,,169.7,779.3
16 03 16 ,,169.7,779.3
16 03 17 ,,169.7,779.3
16 03 18 ,,169.7,779.3
16 03 19 ,,169.7,779.3
16 03 20 ,,169.7,779.2
16 03 21 ,,169.7,779.2
16 03 22 ,,169.7,779.2
16 03 23 ,,169.7,779.2
16 03 24 ,,169.7,779.2
16 03 25 ,,169.7,779.2
16 03 26 ,,169.7,779.2
16 03 27 ,,169.7,779.2
16 03 28 ,,169.7,779.2
16 03 29 ,,169.7,779.2
16 03 30 ,,169.7,779.2
16 03 31 ,,169.7,779.2
16 03 32 ,,169.7,779.2
16 03 33 ,,169.7,779.2
16 03 34 ,,169.7,779.1
16 03 35 ,,169.7,779.1
16 03 36 ,,169.7,779.1
16 03 37 ,,169.7,779.1
16 03 38 ,,169.7,779.1
16 03 39 ,,169.7,779.1
16 03 40 ,,169.7,779.1
16 03 41 ,,169.7,779.1
16 03 42 ,,169.7,779.1
16 03 43 ,,169.7,779.1
16 03 44 ,,169.7,779.1
16 03 45 ,,169.7,779.1
16 03 46 ,,169.7,779.1
16 03 47 ,,169.7,779.1
16 03 48 ,,169.7,779.1
16 03 49 ,,169.7,779.1
16 03 50 ,,169.7,779.1
16 03 51 ,,169.7,779.1
16 03 52 ,,169.7,779.1
16 03 53 ,,169.7,779.1
16 03 54 ,,169.7,779.1
16 03 55 ,,169.7,779.1
16 03 56 ,,169.7,779.1
16 03 57 ,,169.7,779.1
16 03 58 ,,169.7,779.1
16 03 59 ,,169.7,779.1
16 04 00 ,,169.7,779.1
16 04 01 ,,169.7,779.1
16 04 02 ,,169.7,779.1
16 04 03 ,,169.7,779.1
16 04 04 ,,169.7,779.1
16 04 05 ,,169.7,778.9
16 04 06 ,,169.7,778.9
16 04 07 ,,169.7,778.9
16 04 08 ,,169.7,778.9
16 04 09 ,,169.7,778.9
16 04 10 ,,169.7,778.9
16 04 11 ,,169.7,778.9
16 04 12 ,,169.7,778.9
16 04 13 ,,169.7,778.9
16 04 14 ,,169.7,778.9
16 04 15 ,,169.7,778.9
16 04 16 ,,169.7,778.9
16 04 17 ,,169.7,778.9
16 04 18 ,,169.7,778.9
16 04 19 ,,169.7,778.9
16 04 20 ,,169.7,778.9
16 04 21 ,,169.7,778.9
16 04 22 ,,169.7,778.9
16 04 23 ,,169.7,778.9
16 04 24 ,,169.7,778.9
16 04 25 ,,169.7,778.9
16 04 26 ,,169.7,778.9
16 04 27 ,,169.7,778.9
16 04 28 ,,169.7,778.9
16 04 29 ,,169.7,778.9
16 04 30 ,,169.7,778.9
16 04 31 ,,169.7,778.9
16 04 32 ,,169.7,778.9
16 04 33 ,,169.7,778.9
16 04 34 ,,169.7,778.9
16 04 35 ,,169.7,778.9
16 04 36 ,,169.7,778.9
16 04 37 ,,169.7,778.9
16 04 38 ,,169.7,778.9
16 04 39 ,,169.7,778.9
16 04 40 ,,169.7,778.9
16 04 41 ,,169.7,778.9
16 04 42 ,,169.7,778.9
16 04 43 ,,169.7,778.9
16 04 44 ,,169.7,778.9
16 04 45 ,,169.7,778.9
16 04 46 ,,169.7,778.9
16 04 47 ,,169.7,778.9
16 04 48 ,,169.7,778.8
16 04 49 ,,169.7,778.8
16 04 50 ,,169.7,778.8
16 04 51 ,,169.7,778.8
16 04 52 ,,169.7,778.8
16 04 53 ,,169.8,778.8
16 04 54 ,,169.8,778.8
16 04 55 ,,169.7,778.8
16 04 56 ,,169.7,778.8
16 04 57 ,,169.7,778.8
16 04 58 ,,169.8,778.8
16 04 59 ,,169.8,778.8
16 05 00 ,,169.8,778.8
16 05 01 ,,169.8,778.8
16 05 02 ,,169.8,778.8
16 05 03 ,,169.7,778.8
16 05 04 ,,169.7,778.8
16 05 05 ,,169.8,778.8
16 05 06 ,,169.8,778.8
16 05 07 ,,169.8,778.8
16 05 08 ,,169.8,778.8
16 05 09 ,,169.8,778.8
16 05 10 ,,169.8,778.8
16 05 11 ,,169.8,778.8
16 05 12 ,,169.8,778.8
16 05 13 ,,169.8,778.8
16 05 14 ,,169.8,778.8
16 05 15 ,,169.8,778.8
16 05 16 ,,169.8,778.8
16 05 17 ,,169.8,778.8
16 05 18 ,,169.8,778.8
16 05 19 ,,169.8,778.8
16 05 20 ,,169.8,778.8
16 05 21 ,,169.8,778.8
16 05 22 ,,169.8,778.8
16 05 23 ,,169.8,778.8
16 05 24 ,,169.8,778.8
16 05 25 ,,169.8,778.8
16 05 26 ,,169.8,778.8
16 05 27 ,,169.8,778.8
16 05 28 ,,169.8,778.6
16 05 29 ,,169.8,778.6
16 05 30 ,,169.8,778.6
16 05 31 ,,169.8,778.6
16 05 32 ,,169.8,778.6
16 05 33 ,,169.8,778.6
16 05 34 ,,169.8,778.6
16 05 35 ,,169.7,778.6
16 05 36 ,,169.7,778.6
16 05 37 ,,169.7,778.6
16 05 38 ,,169.7,778.6
16 05 39 ,,169.7,778.6
16 05 40 ,,169.7,778.6
16 05 41 ,,169.7,778.6
16 05 42 ,,169.8,778.6
16 05 43 ,,169.8,778.6
16 05 44 ,,169.8,778.6
16 05 45 ,,169.8,778.6
16 05 46 ,,169.8,778.6
16 05 47 ,,169.8,778.6
16 05 48 ,,169.8,778.6
16 05 49 ,,169.8,778.6
16 05 50 ,,169.8,778.6
16 05 51 ,,169.8,778.6
16 05 52 ,,169.8,778.6
16 05 53 ,,169.8,778.6
16 05 54 ,,169.8,778.6
16 05 55 ,,169.8,778.6
16 05 56 ,,169.8,778.6
16 05 57 ,,169.8,778.6
16 05 58 ,,169.8,778.6
16 05 59 ,,169.8,778.6
16 06 00 ,,169.8,778.6
16 06 01 ,,169.8,778.6
16 06 02 ,,169.8,778.6
16 06 03 ,,169.8,778.6
16 06 04 ,,169.8,778.6
16 06 05 ,,169.8,778.6
16 06 06 ,,169.8,778.6
16 06 07 ,,169.8,778.6
16 06 08 ,,169.8,778.6
16 06 09 ,,169.8,778.6
16 06 10 ,,169.8,778.6
16 06 11 ,,169.8,778.6
16 06 12 ,,169.8,778.6
16 06 13 ,,169.8,778.6
16 06 14 ,,169.8,778.6
16 06 15 ,,169.8,778.6
16 06 16 ,,169.8,778.6
16 06 17 ,,169.8,778.6
16 06 18 ,,169.8,778.6
16 06 19 ,,169.8,778.6
16 06 20 ,,169.8,778.6
16 06 21 ,,169.8,778.6
16 06 22 ,,169.8,778.5
16 06 23 ,,169.8,778.5
16 06 24 ,,169.8,778.5
16 06 25 ,,169.8,778.5
16 06 26 ,,169.8,778.5
16 06 27 ,,169.8,778.5
16 06 28 ,,169.8,778.5
16 06 29 ,,169.8,778.5
16 06 30 ,,169.8,778.5
16 06 31 ,,169.8,778.5
16 06 32 ,,169.8,778.5
16 06 33 ,,169.8,778.5
16 06 34 ,,169.8,778.5
16 06 35 ,,169.8,778.5
16 06 36 ,,169.8,778.5
16 06 37 ,,169.8,778.5
16 06 38 ,,169.8,778.5
16 06 39 ,,169.8,778.5
16 06 40 ,,169.8,778.5
16 06 41 ,,169.8,778.5
16 06 42 ,,169.8,778.5
16 06 43 ,,169.8,778.5
16 06 44 ,,169.8,778.5
16 06 45 ,,169.8,778.5
16 06 46 ,,169.8,778.5
16 06 47 ,,169.8,778.5
16 06 48 ,,169.8,778.5
16 06 49 ,,169.8,778.5
16 06 50 ,,169.8,778.5
16 06 51 ,,169.8,778.5
16 06 52 ,,169.8,778.5
16 06 53 ,,169.8,778.5
16 06 54 ,,169.8,778.5
16 06 55 ,,169.8,778.5
16 06 56 ,,169.8,778.5
16 06 57 ,,169.8,778.5
16 06 58 ,,169.8,778.5
16 06 59 ,,169.8,778.5
16 07 00 ,,169.8,778.5
16 07 01 ,,169.8,778.5
16 07 02 ,,169.8,778.5
16 07 03 ,,169.8,778.5
16 07 04 ,,169.8,778.5
16 07 05 ,,169.8,778.5
16 07 06 ,,169.8,778.5
16 07 07 ,,169.8,778.5
16 07 08 ,,169.8,778.5
16 07 09 ,,169.8,778.5
16 07 10 ,,169.8,778.5
16 07 11 ,,169.8,778.5
16 07 12 ,,169.8,778.5
16 07 13 ,,169.8,778.5
16 07 14 ,,169.8,778.5
16 07 15 ,,169.8,778.5
16 07 16 ,,169.8,778.5
16 07 17 ,,169.8,778.5
16 07 18 ,,169.8,778.5
16 07 19 ,,169.8,778.5
16 07 20 ,,169.8,778.5
16 07 21 ,,169.8,778.5
16 07 22 ,,169.8,778.5
16 07 23 ,,169.8,778.5
16 07 24 ,,169.8,778.5
16 07 25 ,,169.8,778.5
16 07 26 ,,169.8,778.5
16 07 27 ,,169.8,778.5
16 07 28 ,,169.8,778.5
16 07 29 ,,169.8,778.5
16 07 30 ,,169.8,778.4
16 07 31 ,,169.8,778.4
16 07 32 ,,169.8,778.4
16 07 33 ,,169.8,778.4
16 07 34 ,,169.8,778.4
16 07 35 ,,169.8,778.4
16 07 36 ,,169.8,778.4
16 07 37 ,,169.8,778.4
16 07 38 ,,169.8,778.4
16 07 39 ,,169.8,778.4
16 07 40 ,,169.8,778.4
16 07 41 ,,169.8,778.4
16 07 42 ,,169.8,778.4
16 07 43 ,,169.8,778.4
16 07 44 ,,169.8,778.4
16 07 45 ,,169.8,778.4
16 07 46 ,,169.8,778.4
16 07 47 ,,169.8,778.4
16 07 48 ,,169.8,778.4
16 07 49 ,,169.8,778.4
16 07 50 ,,169.8,778.4
16 07 51 ,,169.8,778.4
16 07 52 ,,169.8,778.4
16 07 53 ,,169.8,778.4
16 07 54 ,,169.9,778.4
16 07 55 ,,169.9,778.4
16 07 56 ,,169.9,778.4
16 07 57 ,,169.9,778.4
16 07 58 ,,169.9,778.4
16 07 59 ,,169.9,778.4
16 08 00 ,,169.9,778.4
16 08 01 ,,169.9,778.4
16 08 02 ,,169.9,778.4
16 08 03 ,,169.9,778.4
16 08 04 ,,169.9,778.4
16 08 05 ,,169.9,778.4
16 08 06 ,,169.9,778.4
16 08 07 ,,169.9,778.4
16 08 08 ,,169.9,778.4
16 08 09 ,,169.9,778.4
16 08 10 ,,169.9,778.4
16 08 11 ,,169.9,778.4
16 08 12 ,,169.9,778.4
16 08 13 ,,169.9,778.4
16 08 14 ,,169.9,778.4
16 08 15 ,,169.9,778.4
16 08 16 ,,169.9,778.4
16 08 17 ,,169.9,778.4
16 08 18 ,,169.9,778.4
16 08 19 ,,169.9,778.4
16 08 20 ,,169.9,778.4
16 08 21 ,,169.9,778.4
16 08 22 ,,169.9,778.4
16 08 23 ,,169.9,778.4
16 08 24 ,,169.9,778.4
16 08 25 ,,169.9,778.4
16 08 26 ,,169.9,778.4
16 08 27 ,,169.9,778.4
16 08 28 ,,169.9,778.4
16 08 29 ,,169.9,778.4
16 08 30 ,,169.9,778.4
16 08 31 ,,169.9,778.4
16 08 32 ,,169.9,778.4
16 08 33 ,,169.9,778.4
16 08 34 ,,169.9,778.4
16 08 35 ,,169.9,778.4
16 08 36 ,,169.9,778.4
16 08 37 ,,169.9,778.4
16 08 38 ,,169.9,778.4
16 08 39 ,,169.9,778.4
16 08 40 ,,169.9,778.4
16 08 41 ,,169.9,778.4
16 08 42 ,,169.9,778.4
16 08 43 ,,169.9,778.4
16 08 44 ,,169.9,778.4
16 08 45 ,,169.9,778.4
16 08 46 ,,169.9,778.4
16 08 47 ,,169.9,778.4
16 08 48 ,,169.9,778.4
16 08 49 ,,169.9,778.4
16 08 50 ,,169.9,778.3
16 08 51 ,,169.9,778.3
16 08 52 ,,169.9,778.3
16 08 53 ,,169.9,778.3
16 08 54 ,,169.9,778.3
16 08 55 ,,169.9,778.3
16 08 56 ,,169.9,778.3
16 08 57 ,,169.9,778.3
16 08 58 ,,169.9,778.3
16 08 59 ,,169.9,778.3
16 09 00 ,,169.9,778.3
16 09 01 ,,169.9,778.3
16 09 02 ,,169.9,778.3
16 09 03 ,,169.9,778.3
16 09 04 ,,169.9,778.3
16 09 05 ,,169.9,778.3
16 09 06 ,,169.9,778.3
16 09 07 ,,169.9,778.3
16 09 08 ,,169.9,778.3
16 09 09 ,,169.9,778.3
16 09 10 ,,169.9,778.3
16 09 11 ,,169.9,778.2
16 09 12 ,,169.9,778.2
16 09 13 ,,169.9,778.2
16 09 14 ,,169.9,778.2
16 09 15 ,,169.9,778.2
16 09 16 ,,169.9,778.2
16 09 17 ,,169.9,778.2
16 09 18 ,,169.9,778.2
16 09 19 ,,169.9,778.2
16 09 20 ,,169.9,778.2
16 09 21 ,,169.9,778.2
16 09 22 ,,169.9,778.2
16 09 23 ,,169.9,778.2
16 09 24 ,,169.9,778.2
16 09 25 ,,169.8,778.2
16 09 26 ,,169.8,778.2
16 09 27 ,,169.8,778.2
16 09 28 ,,169.8,778.2
16 09 29 ,,169.8,778.2
16 09 30 ,,169.8,778.2
16 09 31 ,,169.8,778.2
16 09 32 ,,169.8,778.2
16 09 33 ,,169.8,778.1
16 09 34 ,,169.8,778.1
16 09 35 ,,169.8,778.1
16 09 36 ,,169.8,778.1
16 09 37 ,,169.8,778.1
16 09 38 ,,169.8,778.1
16 09 39 ,,169.8,778.1
16 09 40 ,,169.8,778.1
16 09 41 ,,169.8,778.1
16 09 42 ,,169.8,778.1
16 09 43 ,,169.8,778.1
16 09 44 ,,169.8,778.1
16 09 45 ,,169.8,778.1
16 09 46 ,,169.8,778.1
16 09 47 ,,169.8,778.1
16 09 48 ,,169.8,778.1
16 09 49 ,,169.8,778.1
16 09 50 ,,169.8,778.1
16 09 51 ,,169.8,778.1
16 09 52 ,,169.8,778.1
16 09 53 ,,169.8,778.1
16 09 54 ,,169.8,778.1
16 09 55 ,,169.8,778.1
16 09 56 ,,169.8,778.1
16 09 57 ,,169.8,778.1
16 09 58 ,,169.8,778.1
16 09 59 ,,169.8,778.1
16 10 00 ,,169.8,778.1
16 10 01 ,,169.8,778.1
16 10 02 ,,169.8,778.1
16 10 03 ,,169.8,778.1
16 10 04 ,,169.8,778.1
16 10 05 ,,169.8,778.1
16 10 06 ,,169.8,778.1
16 10 07 ,,169.8,778.1
16 10 08 ,,169.8,778.1
16 10 09 ,,169.8,778.1
16 10 09 ,,169.8,778.1
