Time,Etileno stde
0,5.544584865738788e-10
1,5.54469059571952e-10
2,5.544796325700252e-10
3,7.462137517470085e-10
4,9.382116728845947e-10
5,1.1303176249244951e-09
6,1.3225316990705103e-09
7,1.5150672262105858e-09
8,1.707765436516812e-09
9,1.900626536265394e-09
10,2.0933556854731746e-09
11,2.2871607296324257e-09
12,2.0338922415128587e-09
13,1.7804092705522575e-09
14,1.5269271509507632e-09
15,1.2727987893631813e-09
16,1.0183828912011258e-09
17,7.638950936754524e-10
18,5.092633957836348e-10
19,2.546676831515533e-10
20,0.0
21,2.855872090002079e-10
22,5.711744180004158e-10
23,8.567616270006236e-10
24,1.1423488360008316e-09
25,1.4279360450010396e-09
26,1.7135232540012473e-09
27,1.999110463001455e-09
28,2.284374792172381e-09
29,2.154781057343797e-09
30,2.0251873225152132e-09
31,1.8953257349824204e-09
32,1.7657503121129756e-09
33,1.635943725794924e-09
34,1.5063866097102874e-09
35,1.3768294936256504e-09
36,1.2472723775410138e-09
37,1.1177152614563771e-09
38,1.0555220824330017e-09
39,9.933289034096263e-10
40,9.311357243862509e-10
41,8.694539888857495e-10
42,8.072242041066216e-10
43,7.449944193274938e-10
44,6.827646345483657e-10
45,6.20534849769238e-10
46,5.579766502459985e-10
47,5.578014618770237e-10
48,5.577050949023486e-10
49,5.576087279276734e-10
50,5.574336162692478e-10
51,5.573372629057274e-10
52,5.570048905207997e-10
53,5.567513701827944e-10
54,5.56497992935145e-10
55,5.56323235626079e-10
56,4.867828311728192e-10
57,4.1718356899255686e-10
58,3.475549194505048e-10
59,2.779655360297228e-10
60,2.0838601469759272e-10
61,1.3890443476531093e-10
62,6.943265062187713e-11
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,6.14810571923026e-11
74,1.229621143846052e-10
75,1.8444317157690777e-10
76,2.459242287692104e-10
77,3.0740528596151305e-10
78,3.687306292056712e-10
79,4.3018573407328305e-10
80,4.91640838940895e-10
81,5.530181306481514e-10
82,4.91502523892663e-10
83,4.300647084060801e-10
84,3.686268929194973e-10
85,3.0718907743291444e-10
86,2.457512619463315e-10
87,1.8431344645974866e-10
88,1.2287563097316578e-10
89,6.143781548658289e-11
90,0.0
91,1.2394355401465693e-10
92,2.4788710802931385e-10
93,3.7183066204397083e-10
94,4.957044869143157e-10
95,6.195434717270399e-10
96,7.433476311784557e-10
97,8.672389030415315e-10
98,9.909908342361268e-10
99,1.1148646885156424e-09
100,9.753694775422118e-10
101,8.359134781530321e-10
102,6.964966738170816e-10
103,5.571973390536652e-10
104,4.17898004290249e-10
105,2.785986695268326e-10
106,1.392993347634163e-10
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,3.0773529273564515e-11
162,6.15644153036285e-11
163,9.234662295544275e-11
164,1.23128830607257e-10
165,1.5391103825907124e-10
166,1.846932459108855e-10
167,2.1547545356269971e-10
168,2.46257661214514e-10
169,2.769617634620806e-10
170,2.4234154302932053e-10
171,2.0772132259656047e-10
172,1.7310110216380038e-10
173,1.384808817310403e-10
174,1.0386066129828023e-10
175,6.92209255214205e-11
176,3.461046276071025e-11
177,0.0
178,3.074329528908929e-11
179,6.148659057817858e-11
180,9.222988586726786e-11
181,1.2297318115635715e-10
182,1.5371647644544645e-10
183,1.8445977173453572e-10
184,2.15172748191979e-10
185,2.459117122194046e-10
186,2.7665067624683015e-10
187,2.459117122194046e-10
188,2.15172748191979e-10
189,1.844078039160445e-10
190,1.5365152582159627e-10
191,1.2290391024738297e-10
192,9.21649535342157e-11
193,6.144330235614379e-11
194,3.0721651178071896e-11
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,3.452640101379892e-11
206,6.905280202759785e-11
207,1.0357920304139678e-10
208,1.381056040551957e-10
209,1.7263200506899466e-10
210,2.0715840608279355e-10
211,2.416848070965925e-10
212,2.762112081103914e-10
213,2.7622359898620104e-10
214,2.7623598986201065e-10
215,2.762483807378203e-10
216,2.762607716136299e-10
217,2.7627316248943953e-10
218,2.7628555336524925e-10
219,2.7629794424105886e-10
220,2.7631033511686846e-10
221,2.7632272599267807e-10
222,2.7629848399511875e-10
223,2.762742419975594e-10
224,2.7625e-10
225,2.762257580024406e-10
226,2.7620151600488125e-10
227,2.761772740073219e-10
228,2.761530320097625e-10
229,2.761287900122031e-10
230,2.761045480146438e-10
231,2.454262649019056e-10
232,2.1474798178916737e-10
233,1.8401787725225228e-10
234,1.5334823104354355e-10
235,1.2267858483483484e-10
236,9.197009990150552e-11
237,6.130477396360908e-11
238,3.065238698180454e-11
239,0.0
240,1.244934364744491e-10
241,2.489868729488982e-10
242,3.7342778793418637e-10
243,4.979037172455819e-10
244,6.223796465569773e-10
245,7.46645578518206e-10
246,8.710865082712404e-10
247,9.955274380242747e-10
248,1.1199683677773092e-09
249,1.1200664276676508e-09
250,1.1201644875579924e-09
251,1.1197902613827993e-09
252,1.1198882799325463e-09
253,1.1199862984822934e-09
254,1.1200843170320405e-09
255,1.1201823355817875e-09
256,1.1202803541315344e-09
257,9.958047592280305e-10
258,8.713291643245268e-10
259,7.46853569421023e-10
260,6.223779745175191e-10
261,4.979023796140153e-10
262,3.734267847105115e-10
263,2.4895118980700773e-10
264,1.2447559490350387e-10
265,0.0
266,6.172733979763913e-11
267,1.2345467959527827e-10
268,1.8518201939291737e-10
269,2.4690935919055654e-10
270,3.0863669898819564e-10
271,3.7036403878583473e-10
272,4.32091378583474e-10
273,4.938187183811131e-10
274,5.555460581787521e-10
275,5.553218568484168e-10
276,5.550976555180814e-10
277,5.548734541877459e-10
278,5.546492528574105e-10
279,5.544250515270752e-10
280,5.542008501967397e-10
281,5.539766488664043e-10
282,5.53752447536069e-10
283,5.535282462057336e-10
284,5.188222491568296e-10
285,4.841162521079258e-10
286,4.494102550590219e-10
287,4.1470425801011806e-10
288,3.7999826096121415e-10
289,3.453407940969782e-10
290,3.1062991918482074e-10
291,2.7591904427266334e-10
292,2.453303341299967e-10
293,2.1466404236374717e-10
294,1.8402362204724407e-10
295,1.5339615564932023e-10
296,1.2273418671168004e-10
297,9.206359032076533e-11
298,6.138436283476387e-11
299,3.069218141738193e-11
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,1.531117835224641e-11
355,3.062235670449282e-11
356,4.593353505673923e-11
357,6.124471340898564e-11
358,7.655589176123204e-11
359,9.186707011347846e-11
360,1.0717824846572486e-10
361,1.2248942681797127e-10
362,1.3780060517021765e-10
363,1.2057552952394047e-10
364,1.0335045387766326e-10
365,8.612537823138603e-11
366,6.890030258510883e-11
367,5.167522693883163e-11
368,3.445015129255441e-11
369,1.7225075646277206e-11
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,7.64293644337656e-12
381,1.528587288675312e-11
382,2.2928809330129682e-11
383,3.057174577350624e-11
384,3.82146822168828e-11
385,4.5857618660259363e-11
386,5.350055510363593e-11
387,6.114349154701248e-11
388,6.878642799038906e-11
389,6.114349154701248e-11
390,5.350055510363593e-11
391,4.585117164512367e-11
392,3.820930970426974e-11
393,3.056744776341579e-11
394,2.2925585822561836e-11
395,1.5283723881707898e-11
396,7.641861940853949e-12
397,0.0
398,0.0
399,0.0
400,0.0
401,0.0
402,0.0
403,0.0
404,0.0
405,0.0
406,1.242463867849642e-10
407,2.48457848373362e-10
408,3.7268677256004295e-10
409,4.96915696746724e-10
410,6.210573324818966e-10
411,7.452687989782759e-10
412,8.694802654746552e-10
413,9.932729828214472e-10
414,1.117432105674128e-09
415,9.932729828214472e-10
416,8.689917934153997e-10
417,7.448501086417712e-10
418,6.207084238681426e-10
419,4.965667390945141e-10
420,3.7237275477667545e-10
421,2.4824850318445023e-10
422,1.2412425159222506e-10
423,0.0
424,0.0
425,0.0
426,0.0
427,0.0
428,0.0
429,0.0
430,0.0
431,0.0
432,0.0
433,0.0
434,0.0
435,0.0
436,0.0
437,0.0
438,0.0
439,0.0
440,0.0
441,1.2472569317111847e-10
442,2.4945138634223694e-10
443,3.741770795133554e-10
444,4.989027726844739e-10
445,6.235409144775418e-10
446,7.481440652145191e-10
447,8.728347427502725e-10
448,9.975254202860257e-10
449,1.1222160978217788e-09
450,9.975254202860257e-10
451,8.728347427502723e-10
452,7.481440652145191e-10
453,6.23453387678766e-10
454,4.987627101430127e-10
455,3.73799649122807e-10
456,2.491997660818713e-10
457,1.245998830409356e-10
458,0.0
459,0.0
460,0.0
461,0.0
462,0.0
463,0.0
464,0.0
465,0.0
466,0.0
467,0.0
468,0.0
469,0.0
470,0.0
471,0.0
472,0.0
473,0.0
474,0.0
475,0.0
476,0.0
477,1.401853947368421e-10
478,2.803707894736842e-10
479,4.2055618421052627e-10
480,5.607415789473684e-10
481,7.009269736842106e-10
482,8.411123684210525e-10
483,9.812977631578948e-10
484,1.1214831578947368e-09
485,9.96873918128655e-10
486,8.722646783625731e-10
487,7.476554385964913e-10
488,6.230461988304093e-10
489,4.984369590643275e-10
490,3.7382771929824563e-10
491,2.4921847953216365e-10
492,1.2460923976608182e-10
493,0.0
494,0.0
495,0.0
496,0.0
497,0.0
498,0.0
499,0.0
500,0.0
501,0.0
502,0.0
503,2.498897076023392e-10
504,4.997794152046784e-10
505,7.496691228070176e-10
506,9.994185611376182e-10
507,1.2492732014220229e-09
508,1.4991278417064274e-09
509,1.7489824819908318e-09
510,1.998276281331837e-09
511,2.2480608164983167e-09
512,1.9670532144360275e-09
513,1.6860456123737375e-09
514,1.4050380103114484e-09
515,1.1240304082491584e-09
516,8.430228061868688e-10
517,5.620152041245794e-10
518,2.810076020622895e-10
519,0.0
520,0.0
521,0.0
522,0.0
523,0.0
524,0.0
525,0.0
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,0.0
532,0.0
533,0.0
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,0.0
540,0.0
541,0.0
542,0.0
543,0.0
544,0.0
545,0.0
546,0.0
547,0.0
548,0.0
549,0.0
550,0.0
551,0.0
552,0.0
553,0.0
554,0.0
555,3.066138222910216e-11
556,6.133137237011592e-11
557,9.199705855517389e-11
558,1.2267996539792388e-10
559,1.5334995674740483e-10
560,1.840199480968858e-10
561,2.1468993944636678e-10
562,2.4535993079584775e-10
563,2.7602992214532873e-10
564,2.453943817830417e-10
565,2.1475023714035537e-10
566,1.840716318345903e-10
567,1.5339302652882525e-10
568,1.227144212230602e-10
569,9.203581591729517e-11
570,6.135721061153013e-11
571,3.067860530576508e-11
572,0.0
573,0.0
574,0.0
575,0.0
576,0.0
577,0.0
578,0.0
579,0.0
580,0.0
581,0.0
582,1.5278012681758096e-11
583,3.055602536351619e-11
584,4.5834038045274286e-11
585,6.111205072703239e-11
586,7.639006340879049e-11
587,9.166807609054857e-11
588,1.0696111140031236e-10
589,1.2224127017178554e-10
590,1.3752142894325872e-10
591,1.203481555305109e-10
592,1.0315556188329504e-10
593,8.596296823607921e-11
594,6.877037458886337e-11
595,5.1592277226341634e-11
596,3.4394851484227756e-11
597,1.719742574211387e-11
598,0.0
599,1.5297690938778883e-11
600,3.0595381877557766e-11
601,4.589952390894508e-11
602,6.119936521192677e-11
603,7.649920651490847e-11
604,9.181195363088298e-11
605,1.0711394590269683e-10
606,1.2241593817451063e-10
607,1.3771793044632448e-10
608,1.3772057973801077e-10
609,1.377232290296971e-10
610,1.377258783213834e-10
611,1.376475584610338e-10
612,1.3765020619522942e-10
613,1.3765285392942502e-10
614,1.3765550166362061e-10
615,1.3765814939781618e-10
616,1.3766079713201183e-10
617,1.2236515300623273e-10
618,1.0706950888045364e-10
619,9.177386475467454e-11
620,7.647822062889546e-11
621,6.118257650311636e-11
622,4.588693237733727e-11
623,3.059558961379827e-11
624,1.5297794806899134e-11
625,0.0
626,0.0
627,0.0
628,0.0
629,0.0
630,0.0
631,0.0
632,0.0
633,0.0
634,6.152336196376605e-11
635,1.230467239275321e-10
636,1.8457008589129818e-10
637,2.461281040229075e-10
638,3.0766013002863437e-10
639,3.692441549295774e-10
640,4.307848474178403e-10
641,4.923255399061032e-10
642,5.538662323943661e-10
643,4.924642622334929e-10
644,4.3096694612747163e-10
645,3.694522970687711e-10
646,3.0796371346677947e-10
647,2.464057051553175e-10
648,1.8483033699943594e-10
649,1.2325498354489895e-10
650,6.163618516951148e-11
651,0.0
652,6.176987821507502e-11
653,1.2355718585402563e-10
654,1.853357787810384e-10
655,2.4711437170805126e-10
656,3.08892964635064e-10
657,3.706715575620768e-10
658,4.3245015048908965e-10
659,4.942287434161025e-10
660,5.560073363431152e-10
661,5.559424070612303e-10
662,5.558774777793453e-10
663,5.558125484974605e-10
664,5.557476192155756e-10
665,5.556826899336909e-10
666,5.55617760651806e-10
667,5.555528313699209e-10
668,5.554879020880362e-10
669,5.556007571482318e-10
670,5.557136122084275e-10
671,5.558264672686231e-10
672,5.559393223288187e-10
673,5.560521773890143e-10
674,5.5616503244921e-10
675,5.562778875094057e-10
676,5.564692512111376e-10
677,5.565821221955693e-10
678,4.947396641738393e-10
679,4.3289720615210944e-10
680,3.710547481303795e-10
681,3.0921229010864963e-10
682,2.4736983208691973e-10
683,1.8555355630821337e-10
684,1.2370237087214226e-10
685,6.185118543607117e-11
686,0.0
687,0.0
688,0.0
689,0.0
690,0.0
691,0.0
692,0.0
693,0.0
694,0.0
695,0.0
696,0.0
697,0.0
698,0.0
699,0.0
700,0.0
701,0.0
702,0.0
703,0.0
704,0.0
705,0.0
706,0.0
707,0.0
708,0.0
709,0.0
710,0.0
711,0.0
712,0.0
713,6.16225095822629e-11
714,1.232450191645258e-10
715,1.848675287467887e-10
716,2.46455428663462e-10
717,3.080260358944926e-10
718,3.6963124307339115e-10
719,4.311759173423721e-10
720,4.92772476962711e-10
721,5.543690365830498e-10
722,5.079820759133127e-10
723,4.616729214241486e-10
724,4.153637669349845e-10
725,3.6905461244582045e-10
726,3.227454579566563e-10
727,2.7639751083439267e-10
728,2.3009485496359642e-10
729,1.8379219909280018e-10
730,1.3748954322200394e-10
731,1.3741776840402172e-10
732,1.3734599358603953e-10
733,1.3727421876805728e-10
734,1.3716394719251337e-10
735,1.37092192513369e-10
736,1.3702043783422462e-10
737,1.3694868315508023e-10
738,1.3687692847593582e-10
739,1.367667992739873e-10
740,1.3675968166044467e-10
741,1.3675256404690207e-10
742,1.3674544643335947e-10
743,1.3673832881981685e-10
744,1.3673121120627425e-10
745,1.367240935927316e-10
746,1.3671697597918902e-10
747,1.367098583656464e-10
748,1.3671289895635672e-10
749,1.367159395470671e-10
750,1.3671898013777737e-10
751,1.3672202072848775e-10
752,1.3672506131919808e-10
753,1.3672810190990843e-10
754,1.3671196831151476e-10
755,1.3671500847583457e-10
756,1.367180486401544e-10
757,1.2152715434680392e-10
758,1.0633626005345344e-10
759,9.114536576010294e-11
760,7.595447146675245e-11
761,6.075505732242419e-11
762,4.556629299181816e-11
763,3.03775286612121e-11
764,1.518876433060605e-11
765,0.0
766,0.0
767,0.0
768,0.0
769,0.0
770,0.0
771,0.0
772,0.0
773,0.0
774,0.0
775,1.708977997107073e-11
776,3.417955994214146e-11
777,5.1269339913212186e-11
778,6.835911988428292e-11
779,8.544889985535364e-11
780,1.0253867982642437e-10
781,1.1962845979749512e-10
782,1.3671823976856584e-10
783,1.367170238733463e-10
784,1.367158079781267e-10
785,1.3671459208290715e-10
786,1.3671337618768761e-10
787,1.3669299414073778e-10
788,1.3669177841597874e-10
789,1.3669056269121978e-10
790,1.3668934696646079e-10
791,1.3668813124170182e-10
792,1.3669034058765804e-10
793,1.366925499336143e-10
794,1.3669475927957054e-10
795,1.3669696862552679e-10
796,1.3669917797148303e-10
797,1.3670138731743928e-10
798,1.367035966633955e-10
799,1.3668664343491815e-10
800,1.366888524711819e-10
801,1.2150120219660615e-10
802,1.0631355192203037e-10
803,9.11259016474546e-11
804,7.593825137287886e-11
805,6.075060109830306e-11
806,4.55629508237273e-11
807,3.0357443229604707e-11
808,1.5178721614802353e-11
809,0.0
810,1.5180356975983553e-11
811,3.0360713951967106e-11
812,4.554107092795066e-11
813,6.072142790393421e-11
814,7.590178487991776e-11
815,9.108214185590132e-11
816,1.0626249883188488e-10
817,1.2144285580786842e-10
818,1.3662321278385197e-10
819,1.3661988803616486e-10
820,1.3661656328847772e-10
821,1.366132385407906e-10
822,1.3660991379310346e-10
823,1.3660658904541632e-10
824,1.3660326429772918e-10
825,1.3659993955004204e-10
826,1.3659661480235493e-10
827,1.365986590038314e-10
828,1.3660070320530788e-10
829,1.366027474067844e-10
830,1.3660479160826094e-10
831,1.366068358097374e-10
832,1.366088800112139e-10
833,1.3661092421269042e-10
834,1.366129684141669e-10
835,1.366150126156434e-10
836,1.2143556676946079e-10
837,1.0624122868488669e-10
838,9.106391030133147e-11
839,7.588659191777622e-11
840,6.070927353422098e-11
841,4.5531955150665734e-11
842,3.035463676711049e-11
843,1.5177318383555245e-11
844,0.0
845,0.0
846,0.0
847,0.0
848,0.0
849,0.0
850,0.0
851,0.0
852,0.0
853,0.0
854,0.0
855,0.0
856,0.0
857,0.0
858,0.0
859,0.0
860,0.0
861,0.0
862,0.0
863,0.0
864,0.0
865,0.0
866,0.0
867,0.0
868,0.0
869,0.0
870,0.0
871,0.0
872,0.0
873,0.0
874,0.0
875,0.0
876,0.0
877,0.0
878,0.0
879,0.0
880,0.0
881,0.0
882,0.0
883,0.0
884,0.0
885,0.0
886,0.0
887,0.0
888,0.0
889,0.0
890,0.0
891,0.0
892,0.0
893,0.0
894,0.0
895,0.0
896,0.0
897,0.0
898,0.0
899,0.0
900,0.0
901,0.0
902,0.0
903,0.0
904,0.0
905,0.0
906,0.0
907,0.0
908,0.0
909,0.0
910,0.0
911,0.0
912,0.0
913,0.0
914,0.0
915,0.0
916,0.0
917,0.0
918,0.0
919,0.0
920,0.0
921,0.0
922,0.0
923,0.0
924,0.0
925,0.0
926,0.0
927,0.0
928,0.0
929,0.0
930,0.0
931,0.0
932,0.0
933,0.0
934,0.0
935,0.0
936,0.0
937,0.0
938,0.0
939,0.0
940,0.0
941,0.0
942,0.0
943,0.0
944,0.0
945,0.0
946,0.0
947,0.0
948,0.0
949,0.0
950,0.0
951,0.0
952,0.0
953,0.0
954,0.0
955,0.0
956,0.0
957,0.0
958,0.0
959,0.0
960,0.0
961,0.0
962,0.0
963,0.0
964,0.0
965,0.0
966,0.0
967,0.0
968,0.0
969,0.0
970,0.0
971,0.0
972,0.0
973,0.0
974,0.0
975,0.0
976,0.0
977,0.0
978,0.0
979,0.0
980,0.0
981,0.0
982,0.0
983,0.0
984,0.0
985,0.0
986,0.0
987,0.0
988,0.0
989,0.0
990,0.0
991,0.0
992,0.0
993,0.0
994,0.0
995,0.0
996,0.0
997,0.0
998,0.0
999,0.0
1000,0.0
1001,0.0
1002,0.0
1003,0.0
1004,0.0
1005,0.0
1006,0.0
1007,0.0
1008,0.0
1009,0.0
1010,0.0
1011,0.0
1012,0.0
1013,0.0
1014,0.0
1015,0.0
1016,0.0
1017,0.0
1018,0.0
1019,0.0
1020,0.0
1021,0.0
1022,0.0
1023,0.0
1024,0.0
1025,0.0
1026,0.0
1027,0.0
1028,0.0
1029,0.0
1030,0.0
1031,0.0
1032,0.0
1033,0.0
1034,0.0
1035,0.0
1036,0.0
1037,0.0
1038,0.0
1039,0.0
1040,0.0
1041,0.0
1042,0.0
1043,0.0
1044,0.0
1045,0.0
1046,0.0
1047,0.0
1048,0.0
1049,0.0
1050,0.0
1051,0.0
1052,0.0
1053,0.0
1054,0.0
1055,0.0
1056,0.0
1057,0.0
1058,0.0
1059,0.0
1060,0.0
1061,0.0
1062,0.0
1063,0.0
1064,0.0
1065,0.0
1066,0.0
1067,0.0
1068,0.0
1069,0.0
1070,0.0
1071,0.0
1072,0.0
1073,0.0
1074,0.0
1075,0.0
1076,0.0
1077,0.0
1078,0.0
1079,0.0
1080,0.0
